구분,주소,이름,lat,lon
1,서울특별시 중구  을지로 234,서울중부 을지,,
1,서울특별시 중구  퇴계로 375-1,서울중부 광희,,
1,"서울특별시 중구  동호로 5길 15, 약수지구대",서울중부 약수,,
2,서울특별시 중구  다산로 248 ,서울중부 신당,,
2,서울특별시 중구  동호로 261,서울중부 장충,,
2,서울특별시 중구  퇴계로 178,서울중부 충무,,
2,서울특별시 중구 충무로56-1,서울중부 을지로3가,37.5661815238113,126.992848341729
1,서울특별시 종로구  종로17길 4 ,서울종로 종로2가,,
2,서울특별시 종로구 삼일대로15길 19 1층,서울종로 관수,37.5686968013869,126.986345479877
2,서울특별시 종로구  세검정로 226 ,서울종로 세검정,,
2,서울특별시 종로구  평창문화로 46,서울종로 평창,,
2,서울특별시 종로구  삼청로 66,서울종로 삼청,,
2,서울특별시 종로구  효자로 9,서울종로 통의,,
2,서울특별시 종로구  자하문로 92-1,서울종로 청운,,
2,서울특별시 종로구  자하문로17길 24,서울종로 옥인,,
2,서울특별시 종로구  송월길 152,서울종로 교남,,
2,서울특별시 중구  세종대로 141,서울종로 세종로,,
2,서울특별시 종로구  경희궁길 6-3,서울종로 신문로,,
2,서울특별시 종로구  사직로9가길 6 1층,서울종로 사직,,
2,서울특별시 종로구 우정국로 45-3 1층,서울종로 청진,37.5729712701818,126.982661854905
2,서울특별시 중구  다동길 11,서울남대문 태평로,,
2,서울특별시 중구  통일로 13,서울남대문 서울역,,
2,서울특별시 중구  명동길 30 명동파출소,서울남대문 명동,,
2,서울특별시 중구  남대문시장4길 28-16,서울남대문 남대문,,
2,서울특별시 중구  중림로 36,서울남대문 중림,,
2,서울특별시 중구  퇴계로6길 3-15,서울남대문 회현,,
2,서울특별시 중구  서소문로 131-1 서소문파출소,서울남대문 서소문,,
1,서울특별시 서대문구  독립문로 25-1,서울서대문 충정로,,
1,서울특별시 서대문구  신촌역로 22,서울서대문 신촌,,
2,서울특별시 서대문구 세검정로1길 112,서울서대문 홍은,37.5952477134009,126.946423973198
2,서울특별시 서대문구  연희로25길 73,서울서대문 연희,,
2,서울특별시 서대문구  가재울로4길 51,서울서대문 남가좌,,
2,서울특별시 서대문구  응암로1길 13,서울서대문 북가좌,,
2,서울특별시 서대문구  통일로 441-1,서울서대문 홍제,,
2,서울특별시 서대문구  연희로 298,서울서대문 홍은2,,
2,서울특별시 종로구  창경궁로 279 ,서울혜화 혜화,,
2,서울특별시 종로구  이화장2길 33,서울혜화 대학로,,
2,서울특별시 종로구  성균관로 78,서울혜화 명륜,,
2,서울특별시 종로구  지봉로13길 20-12,서울혜화 창신,,
2,서울특별시 종로구  종로58가길 19 동묘파출소,서울혜화 동묘,,
2,서울특별시 종로구  창신길 98,서울혜화 덕산,,
2,서울특별시 종로구  동호로 407,서울혜화 종로5가,,
2,서울특별시 종로구  종로41나길 24-6,서울혜화 효제,,
1,서울특별시 용산구  백범로 329,서울용산 원효,,
1,"서울특별시 용산구  후암로16나길 17, 용중지구대",서울용산 용중,,
2,서울특별시 용산구  이태원로 184,서울용산 이태원,,
2,"서울특별시 용산구  대사관로34길 53, 한남파출소",서울용산 한남,,
2,"서울특별시 용산구  보광로 25-1, 보광파출소",서울용산 보광,,
2,서울특별시 용산구  한강대로198-2,서울용산 삼각지,37.5361101058592,126.974708440403
1,서울특별시 용산구  서빙고로67,서울용산 한강로,37.5248628078572,126.970412727842
1,서울특별시 성북구  아리랑로5길 54,서울성북 돈암,,
1,서울특별시 성북구  지봉로21길 45,서울성북 안암,,
1,서울특별시 성북구  삼양로13길 51 길음지구대,서울성북 길음,,
2,서울특별시 성북구  솔샘로 111,서울성북 정릉,,
2,서울특별시 성북구  정릉로26길 6 정릉2파출소,서울성북 정릉2,,
2,서울특별시 성북구  성북로 94  성북파출소,서울성북 성북,,
1,서울시 동대문구 사가정로 2길 9,서울동대문 답십리,,
1,서울특별시 동대문구  청계천로549,서울동대문 용신,37.5728434233834,127.037208959975
2,서울특별시 동대문구 약령시로21길 15,서울동대문 청량리,37.584106726199,127.045272425948
2,서울특별시 동대문구 약령시로 17길 59-11,서울동대문 제기,,
2,서울특별시 동대문구 서울시립대로 56,서울동대문 전농1,37.5761294460211,127.047938093483
2,서울특별시 동대문구 전농로38다길 21,서울동대문 전농2,37.5863730931314,127.054229172919
2,서울특별시 동대문구 한천로20길 9,서울동대문 장안1,37.5696342993256,127.065004726024
2,서울특별시 동대문구  답십리로 69길 100,서울동대문 장안2,,
1,서울특별시 동대문구  한천로 402,서울동대문 이문,,
2,서울특별시 동대문구  한천로 266,서울동대문 휘경,,
2,서울특별시 동대문구  회기로18길 2,서울동대문 회기,,
1,서울특별시 마포구  독막로22길 8,서울마포 서강,,
1,서울특별시 마포구 마포대로 195-1,서울마포 공덕,37.5518094602317,126.954039818166
1,서울특별시 마포구  월드컵북로 30길 24,서울마포 월드컵,,
1,서울특별시 마포구  양화로11길 63,서울마포 홍익,,
1,서울특별시 마포구 토정로31길 35,서울마포 용강,37.5425613405773,126.943083375629
2,서울특별시 마포구  매봉산로 76,서울마포 상암,,
2,서울특별시 마포구  망원로2길 63,서울마포 망원,,
2,서울특별시 마포구  연남로 4,서울마포 연남,,
1,서울특별시 영등포구  영등포로46길 14,서울영등포 중앙,,
1,서울특별시 영등포구  여의공원로 120 여의도지구대,서울영등포 여의도,,
1,서울특별시 영등포구  경인로 759,서울영등포 문래,,
1,서울특별시 영등포구 대방천로 195,서울영등포 신풍,37.4990895649306,126.912786804025
1,서울특별시 영등포구 노량진로 11,서울영등포 신길,37.5129721223424,126.926507760525
2,서울특별시 영등포구  선유로 95,서울영등포 양평,,
1,서울특별시 영등포구  당산로 221,서울영등포 당산,,
1,서울특별시 영등포구  대림로23길 16-1,서울영등포 대림,,
2,서울특별시 영등포구 가마산로 334,서울영등포 대림3,37.4989872492477,126.896637722866
2,서울특별시 영등포구 영신로20길 11,서울영등포 영등포역,37.5154533392517,126.908844330818
1,서울특별시 성동구  사근동길 5,서울성동 한양,,
1,서울특별시 성동구  광나루로2길 35 성수지구대,서울성동 성수,,
